post_id,url,content,date_posted,num_comments,num_shares,num_likes_type,original_post,attachments,video_view_count,likes,post_image,post_type,count_reactions_type,page_reviews_score
1085201643644615,https://www.facebook.com/thongtinchinhphu/posts/pfbid02opbTzsby3r74pCoJ7KSdASNd5u6h6UqmUbyTkxGc3K39qmTdMigBfhkqXyaTNNWhl,"🎓 🏢 🏤
Bộ Giáo dục và Đào tạo tiếp nhận 17 trường đại học, cao đẳng, doanh nghiệp từ Bộ Lao động,Thương binh & Xã hội",2025-02-28 13:06:53+00:00,4,165,"{""type"":""Like"",""num"":10231}",,,,10610,,Post,"[{""type"":""Like"",""reaction_count"":10231},{""type"":""Love"",""reaction_count"":323},{""type"":""Care"",""reaction_count"":31},{""type"":""Haha"",""reaction_count"":14},{""type"":""Wow"",""reaction_count"":11}]",
1085194200312026,https://www.facebook.com/thongtinchinhphu/posts/pfbid0AVBFnMyivmsXecJMSTSa6Fe5Cd61cH2mcDvdZxMxHBZqvRa75KaLDpgbq3PAJyfRl,⚠️ BÀ CON NAM BỘ LƯU Ý 🌊,2025-02-28 12:55:51+00:00,32,151,"{""type"":""Like"",""num"":2401}",,"[{""id"":""1085188903645889"",""type"":""Photo"",""url"":""https://scontent.fgua13-1.fna.fbcdn.net/v/t39.30808-6/481213481_1085188906979222_4917474628904677477_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=127cfc&_nc_ohc=9qgNUm_A32AQ7kNvgH2Vx7B&_nc_oc=Adj-uBx6HRFZXZDkGJpmwPsDPA-5psY6P6THN_PQrq8TLIwWSrllbMJuiFxvGUkhbhQ&_nc_zt=23&_nc_ht=scontent.fgua13-1.fna&_nc_gid=ABFFBR73gebv9TcuzCdH_U1&oh=00_AYBRLkhHpwA1M5hsTCof4Okl4Nxakyzbb2wDWnNkcAADCQ&oe=67CF93D7"",""attachment_url"":""https://www.facebook.com/photo.php?fbid=1085188903645889&set=a.249070910591030&type=3"",""video_url"":null},{""id"":""1085188250312621"",""type"":""Photo"",""url"":""https://scontent.fgua13-1.fna.fbcdn.net/v/t39.30808-6/481101574_1085188256979287_2178661433456362838_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=q0zIXMgWMQcQ7kNvgEdVJQ3&_nc_oc=AdiYaEUhmoORGMgQkMsSacz9phOH8S1A8_sNe_Nhi9P5d0c7sER8TTWqfJHMYN95NDI&_nc_zt=23&_nc_ht=scontent.fgua13-1.fna&_nc_gid=ABFFBR73gebv9TcuzCdH_U1&oh=00_AYD0d7zAdADvAEN1MBlbrLsmFizxVPe73KBogcMNpGL_SQ&oe=67CF7490"",""attachment_url"":""https://www.facebook.com/photo.php?fbid=1085188250312621&set=a.249070910591030&type=3"",""video_url"":null},{""id"":""1085188196979293"",""type"":""Photo"",""url"":""https://scontent.fgua13-1.fna.fbcdn.net/v/t39.30808-6/481995685_1085188203645959_5452599486738127092_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=127cfc&_nc_ohc=C7MhFLHkHgUQ7kNvgEPotRt&_nc_oc=Adj0CpA4btSyB-PyQdByQrXj1qAyPDdsaBOkf6Rwf9Hf04PMws258BaY537OuuGUmYs&_nc_zt=23&_nc_ht=scontent.fgua13-1.fna&_nc_gid=ABFFBR73gebv9TcuzCdH_U1&oh=00_AYAw3fMm0X5RRJTa-HvRZgEENDTBoJykbb5X2zXv3wTmEw&oe=67CF7926"",""attachment_url"":""https://www.facebook.com/photo.php?fbid=1085188196979293&set=a.249070910591030&type=3"",""video_url"":null},{""id"":""1085188183645961"",""type"":""Photo"",""url"":""https://scontent.fgua13-1.fna.fbcdn.net/v/t39.30808-6/481982216_1085188200312626_7382832440879932661_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=127cfc&_nc_ohc=Oh8dAwErQ10Q7kNvgGBhJ0h&_nc_oc=AdjQ6TpFG4gE9Q8a8LnaZU2ntrOU8qSc5yOLLWmmu6EWTMwSJLS1SxfbuIwvI_hZpSo&_nc_zt=23&_nc_ht=scontent.fgua13-1.fna&_nc_gid=ABFFBR73gebv9TcuzCdH_U1&oh=00_AYBoiuoWeevsQc4IQAeKFHgdbUE2bOr_NTuAZZ4kjeFLEg&oe=67CF9707"",""attachment_url"":""https://www.facebook.com/photo.php?fbid=1085188183645961&set=a.249070910591030&type=3"",""video_url"":null},{""id"":""1085188123645967"",""type"":""Photo"",""url"":""https://scontent.fgua13-1.fna.fbcdn.net/v/t39.30808-6/482025824_1085188130312633_2768607467514762894_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=127cfc&_nc_ohc=ZzD_jRb_SS4Q7kNvgHay5KG&_nc_oc=AdiyAOQQSAe7QZJe1XBBQRQ5Wet6n87rt2MBPiKJXAYQa73LEO2xRU2DeZYWDO21Pro&_nc_zt=23&_nc_ht=scontent.fgua13-1.fna&_nc_gid=ABFFBR73gebv9TcuzCdH_U1&oh=00_AYBXtgQonktpdjtNSOx3wnWbcBNSfccJWRVQK6ulOtre1Q&oe=67CF8609"",""attachment_url"":""https://www.facebook.com/photo.php?fbid=1085188123645967&set=a.249070910591030&type=3"",""video_url"":null}]",,2492,https://scontent.fgua13-1.fna.fbcdn.net/v/t39.30808-6/481213481_1085188906979222_4917474628904677477_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=127cfc&_nc_ohc=9qgNUm_A32AQ7kNvgH2Vx7B&_nc_oc=Adj-uBx6HRFZXZDkGJpmwPsDPA-5psY6P6THN_PQrq8TLIwWSrllbMJuiFxvGUkhbhQ&_nc_zt=23&_nc_ht=scontent.fgua13-1.fna&_nc_gid=ABFFBR73gebv9TcuzCdH_U1&oh=00_AYBRLkhHpwA1M5hsTCof4Okl4Nxakyzbb2wDWnNkcAADCQ&oe=67CF93D7,Post,"[{""type"":""Like"",""reaction_count"":2401},{""type"":""Love"",""reaction_count"":56},{""type"":""Care"",""reaction_count"":18},{""type"":""Sad"",""reaction_count"":10},{""type"":""Wow"",""reaction_count"":6},{""type"":""Angry"",""reaction_count"":1}]",
1085190776979035,https://www.facebook.com/thongtinchinhphu/posts/pfbid0waYNd61bN3xL8BpKeFhwCvkBQCNf6rgeh2W9Y8odhjXtCFCsx4UriPCeCAK6CbcAl,"🛫
Dưới sự chỉ đạo của Bộ Giao thông vận tải và Cục Hàng không Việt Nam, mọi công tác chuẩn bị cho hợp tác thuê máy bay C909 của COMAC với Vietjet Air đã hoàn tất",2025-02-28 12:50:13+00:00,3,72,"{""type"":""Like"",""num"":7469}",,,,7727,,Post,"[{""type"":""Like"",""reaction_count"":7469},{""type"":""Love"",""reaction_count"":165},{""type"":""Haha"",""reaction_count"":45},{""type"":""Angry"",""reaction_count"":18},{""type"":""Wow"",""reaction_count"":15},{""type"":""Care"",""reaction_count"":8},{""type"":""Sad"",""reaction_count"":7}]",
1085178040313642,https://www.facebook.com/thongtinchinhphu/posts/pfbid02egGdfUyH3bXeoEXwLARFM1GefPAQvd6H83D6rYAXEV3cF4hWUaTHEWraieiw19BAl,"🤝
 Thủ tướng đề nghị các tập đoàn lớn của Trung Quốc đẩy mạnh chuyển giao công nghệ cao, hỗ trợ, giúp đỡ các doanh nghiệp Việt Nam phát triển",2025-02-28 12:30:27+00:00,5,162,"{""type"":""Like"",""num"":9827}",,,,10759,,Post,"[{""type"":""Like"",""reaction_count"":9827},{""type"":""Love"",""reaction_count"":837},{""type"":""Wow"",""reaction_count"":39},{""type"":""Care"",""reaction_count"":32},{""type"":""Haha"",""reaction_count"":20},{""type"":""Angry"",""reaction_count"":4}]",
1085166493648130,https://www.facebook.com/thongtinchinhphu/posts/pfbid02MorgZ1wVd11xunhcPm9pPB6hfjVPqU4MhXLRvXcyVYJQNxRj1kmyzBYmCbTiZCLml,"🏦👏 KienlongBank dành 3.000 tỷ hỗ trợ vay vốn ổn định sản xuất kinh doanh, vay mua nhà và 1.000 tỷ cho phụ nữ chủ doanh nghiệp.

---
Hoan nghênh việc KienlongBank đã chủ động điều chỉnh giảm lãi suất huy động, tiết giảm chi phí vận hành thông qua việc đẩy mạnh ứng dụng công nghệ. 

Việc này giúp tăng dư địa cho các chương trình ưu đãi lãi suất, bám sát tinh thần chỉ đạo của Chính phủ, cơ quan chức năng.",2025-02-28 12:13:26+00:00,3,260,"{""type"":""Like"",""num"":4905}",,,,5107,,Post,"[{""type"":""Like"",""reaction_count"":4905},{""type"":""Love"",""reaction_count"":156},{""type"":""Haha"",""reaction_count"":27},{""type"":""Care"",""reaction_count"":9},{""type"":""Angry"",""reaction_count"":5},{""type"":""Wow"",""reaction_count"":4},{""type"":""Sad"",""reaction_count"":1}]",
1085163446981768,https://www.facebook.com/thongtinchinhphu/posts/pfbid02DkYg6ZnmHrxb5LoCDYYsteedsijvfWUTQcUiA9Kz5xwRUBjGyhtnmqsgo7rzFoUfl,"⚠️🔥 CẢNH BÁO VIỆC SỬ DỤNG THUỐC DIỆT CHUỘT TRONG NHÀ

📸😖 Chỉ trong 15 phút sau khi phát hiện cháu trai NMP, 3 tuổi (ở Hà Nội) cho vào miệng một nắm ""thóc"" trộn với thuốc diệt chuột, gia đình trẻ đã kịp thời sơ cứu và đưa cháu đến Khoa Nhi, Bệnh viện Bệnh Nhiệt đới Trung ương.

---
🛑 Các gia đình nên cân nhắc không sử dụng thuốc diệt chuột trong nhà nếu không cần thiết. Nên tìm các phương pháp an toàn hơn để kiểm soát chuột, như bẫy hoặc dịch vụ diệt chuột chuyên nghiệp.

Nếu bắt buộc phải sử dụng, cần đặt thuốc ở những vị trí cao, xa tầm tay của trẻ em và thú cưng. Không để thuốc diệt chuột trong các khu vực dễ tiếp cận như tủ, kệ thấp hoặc gần đồ chơi của trẻ.

Trong trường hợp nghi ngờ có tiếp xúc với thuốc diệt chuột, cần sơ cứu ngay tại chỗ bằng cách loại bỏ hoàn toàn thuốc còn lại trong miệng, xúc miệng và rửa sạch các vùng da tiếp xúc. 

🚑 Đưa bệnh nhân đến cơ sở y tế càng sớm càng tốt để ngăn ngừa các hậu quả nghiêm trọng.",2025-02-28 12:08:01+00:00,76,227,"{""type"":""Like"",""num"":2938}",,"[{""id"":""1085161563648623"",""type"":""Photo"",""url"":""https://scontent.fgua13-1.fna.fbcdn.net/v/t39.30808-6/481456679_1085161566981956_757182797281486983_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=105&ccb=1-7&_nc_sid=127cfc&_nc_ohc=B-WQ8L1d5acQ7kNvgFaMAzu&_nc_oc=AdhWHEtchlpiSXZ9L124uYFvycCyUoUSjH2DRO6-P7iZED-U7FLAMuM35lO1s63oHHQ&_nc_zt=23&_nc_ht=scontent.fgua13-1.fna&_nc_gid=AutGg_QvLi9sKjolA5mjMnM&oh=00_AYASU98hnWNz6opPf6zyqn43asfNDGvSatqhcmX7HNctzA&oe=67CFA005"",""video_url"":null}]",,3083,https://scontent.fgua13-1.fna.fbcdn.net/v/t39.30808-6/481456679_1085161566981956_757182797281486983_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=105&ccb=1-7&_nc_sid=127cfc&_nc_ohc=B-WQ8L1d5acQ7kNvgFaMAzu&_nc_oc=AdhWHEtchlpiSXZ9L124uYFvycCyUoUSjH2DRO6-P7iZED-U7FLAMuM35lO1s63oHHQ&_nc_zt=23&_nc_ht=scontent.fgua13-1.fna&_nc_gid=AutGg_QvLi9sKjolA5mjMnM&oh=00_AYASU98hnWNz6opPf6zyqn43asfNDGvSatqhcmX7HNctzA&oe=67CFA005,Post,"[{""type"":""Like"",""reaction_count"":2938},{""type"":""Sad"",""reaction_count"":68},{""type"":""Love"",""reaction_count"":45},{""type"":""Care"",""reaction_count"":17},{""type"":""Wow"",""reaction_count"":13},{""type"":""Angry"",""reaction_count"":2}]",
1085130850318361,https://www.facebook.com/thongtinchinhphu/posts/pfbid025xXW6xagcDbWomVbhP5fMXAPdwhG2WkrJZxmq3J5c9WVZNLRZ1yuCY2kZcUxWsz6l,"📑 ⏰
Bộ Chính trị thống nhất cao chủ trương thực hiện mạnh mẽ, quyết liệt, nhanh chóng hơn nữa TRONG NĂM 2025 các nội dung của Nghị quyết 18 (về tiếp tục đổi mới, sắp xếp tổ chức bộ máy của hệ thống chính trị tinh gọn, hoạt động hiệu lực, hiệu quả)",2025-02-28 11:16:29+00:00,1,948,"{""type"":""Like"",""num"":14545}",,,,15776,,Post,"[{""type"":""Like"",""reaction_count"":14545},{""type"":""Love"",""reaction_count"":1140},{""type"":""Care"",""reaction_count"":53},{""type"":""Haha"",""reaction_count"":18},{""type"":""Wow"",""reaction_count"":15},{""type"":""Sad"",""reaction_count"":3},{""type"":""Angry"",""reaction_count"":2}]",
1085125220318924,https://www.facebook.com/thongtinchinhphu/posts/pfbid02EKJvwND9oSNUN7px4B5o32gLhVn2xTs2Ej4N5tqk23u9pG7kmx2fgJYy6ysNRZ3Wl,"👶 👧 👦
MIỄN TOÀN BỘ HỌC PHÍ CHO HỌC SINH từ mầm non đến hết THPT công lập trên phạm vi cả nước",2025-02-28 11:07:15+00:00,1397,67215,"{""type"":""Like"",""num"":355648}",,,,449566,,Post,"[{""type"":""Like"",""reaction_count"":355648},{""type"":""Love"",""reaction_count"":86475},{""type"":""Care"",""reaction_count"":3197},{""type"":""Wow"",""reaction_count"":3047},{""type"":""Haha"",""reaction_count"":920},{""type"":""Sad"",""reaction_count"":224},{""type"":""Angry"",""reaction_count"":55}]",
1085048560326590,https://www.facebook.com/thongtinchinhphu/posts/pfbid034uuwk2AW6NDhcBpu9MW7WMZoNdPYteCbKaS59pkntxythbWrB7QLybydwC2TFrrCl,✈️🎖️ RA MẮT TRUNG TÂM AN NINH HÀNG KHÔNG QUỐC GIA,2025-02-28 08:45:55+00:00,0,486,"{""type"":""Like"",""num"":16265}",,,,17722,,Post,"[{""type"":""Like"",""reaction_count"":16265},{""type"":""Love"",""reaction_count"":1327},{""type"":""Care"",""reaction_count"":62},{""type"":""Haha"",""reaction_count"":46},{""type"":""Wow"",""reaction_count"":16},{""type"":""Sad"",""reaction_count"":5},{""type"":""Angry"",""reaction_count"":1}]",
1085025763662203,https://www.facebook.com/thongtinchinhphu/posts/pfbid0FLineqgiGRQy8sJiTkitZ7MQXiqzd2WVdovsMAwM3oPgiTWXwf5zc7Yowit97W1Bl,"👨 👩
Khuyến cáo công dân có phẫu thuật thẩm mỹ thì phải thực hiện thủ tục cấp đổi căn cước và cấp đổi hộ chiếu để đảm bảo việc thực hiện thủ tục xuất nhập cảnh không những ở trong nước mà còn liên quan đến các nước trên thế giới. 

🛂 Khi có sự sai khác đó thì có ảnh hưởng rất lớn đến trong quá trình xuất nhập cảnh.",2025-02-28 08:03:02+00:00,2,1798,"{""type"":""Like"",""num"":21174}",,,,28591,,Post,"[{""type"":""Like"",""reaction_count"":21174},{""type"":""Haha"",""reaction_count"":6940},{""type"":""Love"",""reaction_count"":330},{""type"":""Wow"",""reaction_count"":57},{""type"":""Care"",""reaction_count"":53},{""type"":""Sad"",""reaction_count"":32},{""type"":""Angry"",""reaction_count"":5}]",
